magnitude,jerk,variance,peak_freq,zero_cross,duration,class_id,class_label
1.1021,0.2183,0.1283,10.5891,16,100.00,0,MOVING
1.0603,0.3429,0.0589,5.8504,11,100.00,0,MOVING
1.0184,0.1675,0.0893,8.1076,10,100.00,0,MOVING
1.1249,0.1402,0.0691,6.8206,9,100.00,0,MOVING
0.9324,0.1139,0.1493,5.5602,9,100.00,0,MOVING
0.8906,0.3888,0.1300,7.8211,8,100.00,0,MOVING
0.9961,0.3604,0.1093,6.5030,8,100.00,0,MOVING
0.9558,0.3369,0.1406,5.3072,16,100.00,0,MOVING
0.9121,0.3099,0.0703,7.5122,15,100.00,0,MOVING
1.0197,0.2833,0.1006,6.2575,15,100.00,0,MOVING
1.1279,0.2579,0.0810,8.5155,14,100.00,0,MOVING
1.0857,0.2321,0.0615,10.7648,14,100.00,0,MOVING
1.0398,0.2024,0.1404,5.9102,13,100.00,0,MOVING
1.1498,0.1790,0.0716,8.2216,8,100.00,0,MOVING
0.9565,0.3019,0.1015,6.9382,16,100.00,0,MOVING
0.9146,0.1269,0.0822,9.1965,16,100.00,0,MOVING
1.0215,0.1006,0.0623,11.4201,15,100.00,0,MOVING
1.1287,0.3739,0.1424,6.6519,15,100.00,0,MOVING
0.9371,0.1983,0.0729,5.4159,9,100.00,0,MOVING
0.8946,0.3220,0.1031,7.6587,13,100.00,0,MOVING
1.0018,0.1463,0.0834,9.8880,8,100.00,0,MOVING
1.1095,0.2699,0.1134,5.1341,12,100.00,0,MOVING
1.0683,0.2453,0.1443,7.4108,12,100.00,0,MOVING
0.8763,0.3696,0.0748,9.6664,16,100.00,0,MOVING
1.1318,0.3417,0.0542,11.8499,10,100.00,0,MOVING
1.0887,0.1646,0.0843,7.0731,10,100.00,0,MOVING
1.0479,0.1406,0.0652,5.8630,14,100.00,0,MOVING
1.0051,0.1135,0.0952,8.0955,9,100.00,0,MOVING
1.1128,0.2386,0.1257,6.8387,13,100.00,0,MOVING
0.9190,0.3609,0.1055,9.0433,16,100.00,0,MOVING
1.0276,0.3361,0.1363,7.8161,11,100.00,0,MOVING
0.9849,0.3097,0.1165,10.0506,15,100.00,0,MOVING
0.9424,0.2838,0.0967,8.7898,10,100.00,0,MOVING
0.9007,0.1086,0.1273,7.5526,10,100.00,0,MOVING
1.0073,0.2314,0.0570,6.2686,9,100.00,0,MOVING
0.9644,0.2048,0.1373,11.9970,13,100.00,0,MOVING
0.9218,0.3283,0.0675,10.7360,8,100.00,0,MOVING
1.0295,0.1526,0.0977,5.9794,12,100.00,0,MOVING
1.1371,0.2764,0.0782,11.7262,11,100.00,0,MOVING
1.0958,0.2519,0.0588,10.4987,11,100.00,0,MOVING
1.0511,0.3735,0.0882,9.1760,10,100.00,0,MOVING
0.8600,0.1990,0.1191,7.9574,9,100.00,0,MOVING
0.9676,0.1725,0.0992,10.2006,9,100.00,0,MOVING
1.0749,0.2964,0.1292,5.4334,8,100.00,0,MOVING
1.0327,0.1205,0.1097,11.1814,8,100.00,0,MOVING
0.9909,0.2456,0.0904,9.9428,16,100.00,0,MOVING
1.0977,0.3688,0.0704,5.1637,11,100.00,0,MOVING
1.0552,0.1926,0.0506,7.4026,15,100.00,0,MOVING
0.8625,0.1660,0.0809,6.1407,14,100.00,0,MOVING
1.1183,0.2886,0.0604,11.8310,14,100.00,0,MOVING
1.0782,0.1146,0.1415,10.6376,9,100.00,0,MOVING
1.0348,0.2370,0.0713,5.8537,8,100.00,0,MOVING
1.1433,0.3622,0.1019,8.1223,16,100.00,0,MOVING
0.9489,0.3346,0.1317,10.3089,11,100.00,0,MOVING
0.9081,0.1602,0.1126,9.0966,15,100.00,0,MOVING
0.8656,0.1337,0.0928,7.8391,10,100.00,0,MOVING
1.1233,0.2580,0.1230,6.5848,14,100.00,0,MOVING
1.0800,0.3813,0.0531,5.3010,13,100.00,0,MOVING
0.8880,0.3560,0.0835,7.5559,8,100.00,0,MOVING
1.1456,0.1795,0.0638,9.7995,8,100.00,0,MOVING
1.1030,0.1535,0.1442,8.5365,16,100.00,0,MOVING
1.0599,0.2771,0.1244,10.7608,11,100.00,0,MOVING
1.0172,0.1009,0.1045,9.4951,10,100.00,0,MOVING
0.9759,0.3757,0.1350,11.7706,10,100.00,0,MOVING
0.9336,0.1996,0.1153,10.5146,14,100.00,0,MOVING
0.8900,0.3228,0.0953,5.7241,13,100.00,0,MOVING
0.9966,0.1456,0.0751,7.9401,12,100.00,0,MOVING
1.1062,0.1219,0.1062,6.7397,16,100.00,0,MOVING
1.0632,0.3950,0.1362,8.9659,16,100.00,0,MOVING
1.0211,0.3694,0.0666,11.2157,11,100.00,0,MOVING
0.9775,0.1922,0.1465,9.9255,15,100.00,0,MOVING
0.9351,0.1662,0.0767,8.6681,10,100.00,0,MOVING
0.8914,0.1386,0.1064,10.8753,9,100.00,0,MOVING
1.1495,0.1133,0.1370,6.1347,13,100.00,0,MOVING
0.9571,0.2373,0.0672,8.3758,8,100.00,0,MOVING
0.9156,0.2124,0.0979,10.6454,12,100.00,0,MOVING
0.8729,0.1863,0.1285,9.3822,16,100.00,0,MOVING
0.9793,0.3087,0.1081,11.5912,15,100.00,0,MOVING
0.9379,0.1340,0.0889,6.8629,14,100.00,0,MOVING
1.0450,0.2573,0.0689,9.0918,14,100.00,0,MOVING
1.0032,0.3817,0.0994,11.3510,9,100.00,0,MOVING
1.1093,0.2047,0.1291,10.0508,8,100.00,0,MOVING
1.0676,0.1787,0.0596,5.3141,12,100.00,0,MOVING
0.8757,0.1536,0.0903,11.0721,11,100.00,0,MOVING
1.1326,0.2769,0.1203,9.7963,15,100.00,0,MOVING
1.0895,0.1003,0.1001,5.0182,10,100.00,0,MOVING
0.8992,0.3765,0.0814,10.8193,10,100.00,0,MOVING
0.8554,0.1990,0.0609,6.0231,14,100.00,0,MOVING
1.1139,0.3237,0.1416,8.2911,8,100.00,0,MOVING
1.0711,0.2977,0.0718,10.5231,12,100.00,0,MOVING
1.0269,0.2699,0.0513,9.2163,12,100.00,0,MOVING
1.1363,0.2461,0.1326,8.0117,16,100.00,0,MOVING
1.0934,0.3692,0.1127,10.2395,11,100.00,0,MOVING
0.9016,0.1941,0.1431,9.0003,10,100.00,0,MOVING
1.0075,0.1661,0.0728,11.1969,9,100.00,0,MOVING
0.9659,0.2908,0.0534,6.4629,13,100.00,0,MOVING
1.0735,0.2647,0.1336,5.2040,13,100.00,0,MOVING
0.8800,0.2374,0.1135,10.9175,12,100.00,0,MOVING
0.9880,0.3624,0.1441,9.6723,12,100.00,0,MOVING
0.9447,0.1855,0.0741,8.3889,11,100.00,0,MOVING
1.0533,0.3099,0.0545,7.1596,10,100.00,0,MOVING
0.8613,0.1346,0.0851,9.4152,14,100.00,0,MOVING
0.9672,0.1069,0.0646,11.6105,9,100.00,0,MOVING
0.9251,0.2309,0.1450,10.3608,13,100.00,0,MOVING
1.0329,0.2055,0.0753,5.6087,12,100.00,0,MOVING
1.1414,0.3298,0.1060,7.8791,16,100.00,0,MOVING
0.9489,0.1550,0.0865,6.6182,16,100.00,0,MOVING
1.0559,0.1277,0.1165,5.3454,11,100.00,0,MOVING
1.0128,0.2510,0.1466,11.0689,15,100.00,0,MOVING
0.9713,0.2256,0.0770,9.8386,14,100.00,0,MOVING
1.0777,0.1989,0.1070,5.0471,9,100.00,0,MOVING
0.8857,0.1731,0.1373,7.3016,8,100.00,0,MOVING
0.9924,0.2961,0.0674,9.5198,8,100.00,0,MOVING
1.1008,0.1207,0.0978,11.7836,12,100.00,0,MOVING
0.9088,0.2456,0.1286,7.0410,16,100.00,0,MOVING
0.8660,0.3692,0.0585,9.2717,10,100.00,0,MOVING
1.1230,0.1925,0.0886,7.9981,14,100.00,0,MOVING
1.0822,0.3182,0.0694,10.2851,9,100.00,0,MOVING
0.8873,0.1397,0.0989,5.4592,9,100.00,0,MOVING
0.9966,0.2653,0.1297,11.2484,8,100.00,0,MOVING
1.1041,0.2394,0.1100,9.9905,12,100.00,0,MOVING
